"stn","lat","lon","Group"
"abs",44.0178,144.2797,"1"
"ale",82.49,-62.42,"2"
"asp",-23.798,133.888,"3"
"bar",71.323,-156.607,"4"
"ber",32.3008,-64.766,"5"
"bil",36.605,-97.516,"5"
"bon",40.0667,-88.3667,"5"
"bos",40.125,-105.237,"5"
"bou",40.05,-105.007,"5"
"brb",-15.601,-47.713,"3"
"bud",47.4291,19.1822,"5"
"cab",51.968,4.928,"4"
"cam",50.2167,-5.3167,"4"
"cap",79.27,101.75,"2"
"car",44.083,5.059,"5"
"clh",36.905,-75.713,"5"
"cnr",42.816,-1.601,"5"
"coc",-12.193,96.835,"1"
"daa",-30.6667,23.993,"3"
"dar",-12.425,130.891,"1"
"dom",-75.1,123.383,"2"
"dra",36.626,-116.018,"3"
"dwn",-12.424,130.8925,"1"
"e13",36.605,-97.485,"5"
"ena",39.0911,-28.0292,"4"
"eur",79.989,-85.9404,"2"
"flo",-27.6047,-48.5227,"1"
"fpe",48.3167,-105.1,"5"
"fua",33.5822,130.3764,"1"
"gan",23.1101,72.6276,"6"
"gcr",34.2547,-89.8729,"5"
"gim",46.721,-87.411,"5"
"gob",-23.5614,15.042,"3"
"gur",28.4249,77.156,"6"
"gvn",-70.65,-8.25,"2"
"how",22.5535,88.3064,"1"
"ino",44.3439,26.0123,"5"
"ish",24.3367,124.1644,"1"
"iza",28.3093,-16.4993,"3"
"kwa",8.72,167.731,"1"
"lau",-45.045,169.689,"5"
"ler",60.1389,-1.1847,"4"
"lin",52.21,14.122,"5"
"lmp",35.518,12.63,"5"
"lrc",37.1038,-76.3872,"5"
"lyu",22.037,121.5583,"4"
"man",-2.058,147.425,"1"
"mnm",24.2883,153.9833,"1"
"nau",-0.521,166.9167,"7"
"new",-32.8842,151.7289,"5"
"nya",78.9227,11.9273,"2"
"ohy",-12.05,-75.32,"7"
"pal",48.713,2.208,"5"
"par",5.806,-55.2146,"1"
"pay",46.8123,6.9422,"5"
"psu",40.72,-77.9333,"5"
"ptr",-9.069,-40.32,"1"
"qiq",47.7957,124.4852,"5"
"reg",50.205,-104.713,"5"
"run",-20.9014,55.4836,"1"
"sap",43.06,141.3286,"5"
"sbo",30.8597,34.7794,"3"
"sel",15.784,-91.9902,"1"
"sms",-29.4428,-53.8231,"7"
"son",47.054,12.9577,"4"
"sov",24.91,46.41,"3"
"spo",-89.983,-24.799,"2"
"sxf",43.73,-96.62,"5"
"syo",-69.0053,39.5811,"2"
"tat",36.0581,140.1258,"1"
"tik",71.5862,128.9188,"4"
"tir",13.0923,79.9738,"7"
"tor",58.2641,26.4613,"5"
"xia",39.754,116.962,"1"
"yus",23.4876,120.9595,"1"
