"stn","lat","lon","f1.Z.r","f2.kt.h","f3.kt.l","f4.kb.h","f5.kb.l","f6.kd.h","f7.kd.l","f8.G.c0","f9.G.r","f10.B.c0","f11.B.r","f12.D.c2","f13.D.r"
"abs",44.0178,144.2797,20.581,0.433696977015619,0.221651869378066,0.233504164812696,0.519476107395865,0.202877459320828,0.287392117090084,392.849128419257,338.662514284316,203.348565057807,239.030692618026,190.371821527245,258.51346499064
"ale",82.49,-62.42,59.052,0.501855691632392,0.172832935558555,0.123108743901526,0.694937007430963,0.253333183144321,0.302248691103131,198.488216198283,306.208260400004,72.6478036922732,229.528369732408,124.892029317837,230.552680858125
"asp",-23.798,133.888,0.362,0.556281903192603,0.129960989451362,0.568273501791168,0.1988586071708,0.167170684185805,0.584881046333267,577.904407869817,299.768843643377,447.759753711344,376.840048937862,124.84132661793,223.508517474575
"bar",71.323,-156.607,47.887,0.300769845111797,0.233110914220853,0.0016233681618528,0.978060789192586,0.155345804264021,0.424600281769519,236.126468971813,366.937164586105,76.2384646733531,205.095076498067,159.757638638274,338.81599350002
"ber",32.3008,-64.766,8.863,0.404877862419538,0.247580079613294,0.0825771805389469,0.569470145561007,0.191289267694733,0.237944867966703,434.342430051607,417.003931420504,224.225452804014,368.720089423961,215.084612604416,170.631690424094
"bil",36.605,-97.516,13.168,0.346530002108418,0.18775153983146,0.302510681272023,0.421035103835847,0.20860161392982,0.254055568550169,408.909246998763,368.533384316243,270.889049698301,309.438964498324,148.506761092068,152.762009443465
"bon",40.0667,-88.3667,16.63,0.419565878724489,0.220909288025655,0.268316614188916,0.466743206280198,0.198714967683442,0.263919122711451,397.59937600812,387.444369769028,220.964219474759,325.283607770242,180.758740161064,173.478481091429
"bos",40.125,-105.237,16.688,0.458954320500996,0.230388150152114,0.301187258707508,0.446418614226217,0.163696251598578,0.433098166129485,436.709407464992,343.53540758035,284.117020977588,297.392997416159,154.253088901726,141.994083811317
"bou",40.05,-105.007,16.613,0.474240849607502,0.212095460207458,0.296095693538277,0.43854753968877,0.168218205175549,0.424469455243465,440.483435274927,357.19004114365,287.234141457931,301.254965874427,162.862013694112,166.55523973881
"brb",-15.601,-47.713,0.063,0.518835459397509,0.198055536507111,0.327358786452455,0.393269330267916,0.144335832977278,0.422208033314592,533.800633096678,292.516461348252,353.683651085913,465.036562028076,163.629179366647,252.074769196247
